Location,Period,Indicator,Dim1,First Tooltip
Cambodia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,30.08 [18.49-48.81]
Cameroon,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,84.52 [74.59-95.69]
Canada,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,5.19 [5.07-5.3]
Central African Republic,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,121.6 [78.14-190]
Chad,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,125.6 [103.6-150.9]
Chile,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.66 [7.13-8.24]
China,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.91 [9.26-10.62]
Colombia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.14 [11.65-19.52]
Comoros,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,69.5 [36.62-138.5]
Congo,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,52.56 [34.98-79.07]
Cook Islands,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,8.41 [5.5-13.06]
Costa Rica,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,8.88 [8.63-9.13]
Croatia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.89 [4.65-5.15]
Cuba,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,5.46 [4.88-6.13]
Cyprus,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,2.62 [2.23-3.11]
Czechia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.17 [3.05-3.31]
Democratic People's Republic of Korea,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,20 [15.66-25.6]
Democratic Republic of the Congo,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,93.94 [66.51-128.4]
Denmark,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.05 [3.87-4.25]
Djibouti,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,63.25 [41.31-94]
Dominica,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,32.09 [28.92-36.86]
Dominican Republic,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,30.49 [23.13-40.49]
Ecuador,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.76 [14.27-15.25]
Egypt,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,22.57 [17.55-29.4]
El Salvador,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.74 [10.34-21.12]
Equatorial Guinea,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,90.81 [59.52-134.6]
Eritrea,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,44.8 [30.21-66.26]
Estonia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,2.94 [2.67-3.22]
Eswatini,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,58.94 [43.04-79.7]
Ethiopia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,58.89 [51.42-67.42]
Fiji,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,24.74 [23.28-26.3]
Finland,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,2.44 [2.31-2.59]
France,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.17 [4.08-4.26]
Gabon,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,46.98 [32.14-67.23]
Gambia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,57.83 [49.99-66.38]
Georgia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,10.23 [9.53-10.98]
Germany,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.91 [3.83-3.98]
Ghana,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,52.23 [45.44-59.57]
Greece,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.39 [4.2-4.59]
Grenada,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,16.42 [14.42-18.62]
Guatemala,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,27.23 [22.97-32.33]
Guinea,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,105.2 [91.95-120.8]
Guinea-Bissau,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,87.26 [60.12-122]
Guyana,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,32.16 [21.83-47.54]
Haiti,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,68.48 [56.93-84.7]
Honduras,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,18.61 [13.7-25.1]
Hungary,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.75 [4.55-4.96]
Iceland,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,2.17 [1.8-2.62]
India,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,40.95 [38.33-43.66]
Indonesia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,26.72 [23.59-30.44]
Iran (Islamic Republic of),2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.49 [10.66-22.58]
Iraq,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,28.56 [23.44-34.68]
Ireland,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.61 [3.41-3.83]
Israel,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.85 [3.73-3.96]
Italy,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.38 [3.3-3.45]
Jamaica,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.18 [9.68-24.44]
Japan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,2.67 [2.62-2.72]
Jordan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,17.09 [13.78-21.35]
Kazakhstan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,10.97 [10.72-11.24]
Kenya,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,47.78 [39.17-59.48]
Kiribati,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,55.76 [35.69-85.71]
Kuwait,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,8.49 [8.18-8.82]
Kyrgyzstan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,21.21 [20.56-21.87]
Lao People's Democratic Republic,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,51.3 [41.03-62.91]
Latvia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.53 [4.14-4.94]
Lebanon,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.97 [4.3-14.19]
Lesotho,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,90.6 [69.32-118]
Liberia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,89.28 [75.96-105]
Libya,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,12.82 [8.92-18.39]
Lithuania,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.74 [4.41-5.1]
Luxembourg,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,2.88 [2.41-3.43]
Madagascar,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,55.98 [47.15-66.31]
Malawi,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,50.05 [38.31-63.41]
Malaysia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,8.15 [7.99-8.31]
Maldives,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.48 [8.8-10.2]
Mali,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,104.8 [90.05-121.2]
Malta,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.06 [6.12-8.14]
Marshall Islands,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,34.74 [23.84-50.19]
Mauritania,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,80.3 [45.15-142.2]
Mauritius,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.51 [13.56-15.54]
Mexico,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.67 [14.79-16.69]
Micronesia (Federated States of),2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,32.5 [14.18-73.98]
Monaco,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.42 [2.62-4.46]
Mongolia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,18.78 [18.4-19.18]
Montenegro,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.14 [2.75-3.59]
Morocco,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,24.15 [19.52-29.86]
Mozambique,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,81.81 [63.56-107.7]
Myanmar,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,49.92 [37.75-63.19]
Namibia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,46.3 [30-75.59]
Nauru,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,33.88 [20.38-55.2]
Nepal,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,34.62 [28.86-41.65]
Netherlands,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.03 [3.93-4.13]
New Zealand,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,5.27 [4.93-5.6]
Nicaragua,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,18.66 [17.08-20.81]
Niger,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,90.21 [63.84-125.7]
Nigeria,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,125 [105.7-149.2]
Niue,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,25.63 [11.19-59.47]
Norway,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,2.64 [2.5-2.79]
Oman,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,11.26 [10.86-11.66]
Pakistan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,73.81 [66.71-81.72]
Palau,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,19.15 [10.69-34.16]
Panama,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,16.42 [9.8-27.32]
Papua New Guinea,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,49.04 [38.24-62.6]
Paraguay,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,21.49 [12.22-38.87]
Peru,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.97 [13.01-17.32]
Philippines,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,29.32 [24.18-35.49]
Poland,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.7 [4.6-4.8]
Portugal,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.63 [3.48-3.79]
Qatar,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.49 [7.05-7.96]
Republic of Korea,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.41 [3.34-3.49]
Republic of Moldova,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.28 [12.27-19.23]
The former Yugoslav Republic of Macedonia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,11.97 [11.05-12.99]
Romania,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,8.55 [8.34-8.76]
Russian Federation,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.55 [7.4-7.69]
Rwanda,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,39.22 [25.39-60.51]
Saint Kitts and Nevis,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,16.58 [13.05-21.04]
Saint Lucia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,21.31 [19.33-23.64]
Saint Vincent and the Grenadines,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,16.19 [13.9-18.78]
Samoa,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,16.42 [12.45-21.51]
San Marino,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,1.9 [1.07-3.44]
Sao Tome and Principe,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,33.27 [22.35-49.78]
Saudi Arabia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,7.86 [6.45-9.94]
Senegal,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,50.63 [43.39-59.03]
Serbia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,6.01 [5.72-6.3]
Seychelles,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.81 [12.31-17.77]
Sierra Leone,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,123.2 [107.6-140.6]
Singapore,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,2.71 [2.52-2.91]
Slovakia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,6.09 [5.91-6.3]
Slovenia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,2.38 [2.19-2.61]
Solomon Islands,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,21.63 [15.67-29.18]
Somalia,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,128.4 [72.72-236.5]
South Africa,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,36.17 [33.86-38.7]
South Sudan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,96.23 [47.79-166.2]
Spain,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,3.25 [3.17-3.33]
Sri Lanka,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,8.22 [7.6-8.89]
Sudan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,64.07 [51.5-79.02]
Suriname,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,19.65 [14.15-27.72]
Sweden,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,2.82 [2.7-2.94]
Switzerland,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,4.25 [4.06-4.45]
Syrian Arab Republic,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,23.27 [15.09-28.55]
Tajikistan,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,36.82 [27.93-48.82]
Thailand,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,10.32 [9.06-12.38]
Timor-Leste,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,49.01 [32.03-74.01]
